Uid,Sentiment
30258,neutral
28511,negative
19266,positive
22889,positive
24413,positive
1362,positive
33731,negative
27137,negative
27534,positive
28631,positive
13970,negative
33166,positive
39079,neutral
43518,neutral
6773,positive
2304,negative
28570,negative
23853,neutral
10162,negative
17225,neutral
22220,positive
19568,negative
28070,neutral
13932,negative
31245,positive
15577,negative
24946,positive
37750,neutral
41031,neutral
30364,negative
22749,negative
15187,negative
19550,negative
42854,positive
19792,neutral
22075,neutral
28340,positive
17955,negative
3463,neutral
16935,neutral
17582,positive
8989,neutral
13602,neutral
23127,negative
2450,positive
18809,positive
11189,negative
10600,positive
16042,neutral
12,neutral
38179,neutral
20142,positive
32844,negative
26777,negative
16544,negative
17014,negative
35144,positive
32790,negative
39275,neutral
20152,negative
44849,neutral
17650,positive
12928,neutral
2705,neutral
24228,neutral
13907,negative
36060,neutral
36409,negative
19252,neutral
33039,positive
37614,neutral
35113,positive
19164,negative
8104,neutral
35037,negative
21785,neutral
25586,neutral
33662,negative
6005,positive
37238,neutral
38093,neutral
30698,neutral
37825,negative
8455,negative
3155,neutral
6568,positive
64,neutral
15352,negative
40236,positive
34220,neutral
13711,neutral
33880,neutral
27637,neutral
2557,neutral
17654,negative
32130,positive
32399,neutral
26258,negative
12667,neutral
45010,neutral
13637,neutral
43731,neutral
23539,neutral
22460,positive
31236,positive
35516,neutral
25350,negative
16139,neutral
6490,positive
9849,negative
26615,positive
39260,negative
43111,positive
14402,negative
26924,negative
9865,negative
19966,neutral
9286,neutral
28063,neutral
39163,positive
34519,neutral
26856,neutral
7426,neutral
19676,neutral
44998,negative
12686,negative
44551,positive
17628,negative
8201,positive
988,positive
13756,positive
12559,negative
8519,neutral
35302,neutral
19016,negative
15110,positive
26440,positive
14180,neutral
23410,neutral
18453,negative
15105,negative
1699,negative
24077,positive
27426,negative
22680,neutral
9843,positive
12743,positive
8276,negative
26210,negative
6638,negative
7173,neutral
8468,positive
13717,negative
40066,neutral
26325,positive
15901,positive
39480,positive
35514,negative
28469,neutral
21595,positive
37069,neutral
34633,neutral
25592,neutral
30966,negative
22228,neutral
13792,positive
4516,positive
2994,neutral
24068,negative
13731,negative
2804,negative
21999,negative
39704,negative
20408,positive
7621,positive
31189,neutral
24784,neutral
22653,neutral
43761,negative
8915,positive
44886,negative
13873,negative
715,positive
4479,positive
22781,neutral
9974,negative
23360,positive
23881,positive
12330,negative
35524,negative
25075,neutral
9776,positive
5499,neutral
1900,neutral
9600,neutral
36705,neutral
16903,positive
44331,neutral
20579,negative
41791,negative
26165,neutral
28789,positive
45071,negative
12790,neutral
28256,negative
36328,neutral
36456,negative
25779,positive
2524,negative
38797,negative
41029,neutral
16240,negative
20647,negative
27011,positive
12371,negative
19427,neutral
34143,neutral
19622,positive
34966,positive
41943,neutral
3542,negative
18915,neutral
40921,negative
497,negative
4372,positive
40832,neutral
22251,neutral
8573,neutral
42671,neutral
11317,positive
13686,positive
42713,positive
24477,negative
30937,negative
30846,negative
28547,neutral
27748,neutral
21970,negative
10413,neutral
34325,negative
14864,positive
10492,negative
16053,positive
15124,negative
37292,negative
24800,positive
24103,neutral
12212,negative
35219,negative
37921,negative
17426,negative
12802,negative
30587,positive
743,neutral
23570,negative
32057,positive
30515,neutral
13972,positive
14293,neutral
12462,negative
16912,negative
17625,positive
16164,positive
14609,positive
22011,negative
2793,negative
870,neutral
24554,negative
20302,neutral
30884,neutral
30625,neutral
36296,positive
27072,neutral
7945,positive
22970,positive
19073,neutral
13575,neutral
12611,negative
29626,negative
2127,negative
13579,negative
33744,neutral
19917,positive
17719,positive
34626,neutral
36464,positive
38046,negative
14819,negative
7273,neutral
11617,negative
22272,neutral
24999,negative
27313,neutral
14346,negative
17429,negative
39529,neutral
7194,neutral
34234,negative
8278,neutral
13183,neutral
4045,negative
17987,negative
20655,negative
43796,negative
24326,neutral
34450,neutral
38393,negative
5109,positive
35052,positive
12810,negative
36185,positive
26366,neutral
4491,positive
24037,positive
4142,neutral
23298,negative
32805,positive
3028,neutral
40643,neutral
15383,neutral
33032,negative
32965,negative
28392,negative
28346,negative
40060,positive
