Uid,Sentiment
861,neutral
815,positive
797,positive
786,neutral
691,positive
671,positive
597,positive
459,positive
287,positive
138,positive
2981,neutral
2940,neutral
2919,positive
2880,positive
2868,positive
2669,positive
2583,neutral
2466,positive
2411,positive
2372,neutral
2313,positive
2285,positive
2246,positive
2223,positive
2096,positive
2013,neutral
2007,positive
1754,negative
1672,positive
1450,neutral
1364,positive
1329,positive
1326,positive
1125,positive
1049,positive
885,positive
843,positive
774,positive
756,positive
697,positive
143,neutral
77,positive
49,negative
2994,positive
2933,positive
2926,positive
2813,positive
2734,neutral
2440,neutral
2273,positive
2154,positive
1818,positive
1803,positive
1584,positive
1569,neutral
1276,positive
1148,neutral
942,positive
937,positive
901,positive
859,neutral
641,positive
479,positive
438,positive
170,neutral
47,positive
2932,positive
2758,positive
2472,positive
2317,positive
2289,neutral
1500,positive
1249,neutral
915,positive
887,neutral
784,positive
665,positive
598,positive
571,neutral
569,positive
524,positive
2982,positive
2768,neutral
2623,positive
2611,positive
2329,positive
2264,neutral
1781,positive
1619,positive
1440,neutral
1411,positive
1245,positive
1048,positive
967,positive
621,positive
488,positive
181,positive
2820,neutral
2714,positive
2370,positive
1198,positive
914,positive
2749,positive
2721,positive
2718,positive
2707,positive
2642,positive
2551,positive
2489,positive
2281,positive
2070,positive
2028,positive
1955,positive
1907,positive
1901,positive
1894,positive
1595,positive
1578,positive
1415,positive
1297,positive
1171,positive
918,positive
755,positive
633,positive
525,positive
304,positive
202,positive
190,positive
35,neutral
2,positive
2974,neutral
2927,positive
2757,positive
2712,positive
2698,positive
2660,positive
2649,positive
2631,positive
2481,positive
2476,neutral
2464,positive
2435,negative
2327,positive
2325,positive
2222,positive
2116,neutral
2032,positive
2002,positive
1962,neutral
1922,positive
1759,positive
1617,neutral
1581,positive
1526,positive
1492,positive
1480,positive
1339,positive
1294,positive
1273,positive
1267,positive
1224,positive
1176,positive
1027,positive
971,positive
897,positive
810,positive
635,positive
611,positive
596,positive
527,positive
506,positive
245,positive
189,neutral
100,positive
3,negative
2956,positive
2826,positive
2797,positive
2747,positive
2737,positive
2633,positive
2585,positive
2579,positive
2563,neutral
2561,positive
2548,neutral
2500,positive
2494,positive
2493,positive
2475,positive
2451,neutral
2447,positive
2405,neutral
2341,negative
2159,positive
2140,neutral
2105,positive
2083,neutral
2080,neutral
2048,positive
2031,positive
1961,neutral
1891,negative
1789,neutral
1546,positive
1545,positive
1370,positive
1332,positive
1320,positive
1300,positive
1111,positive
1063,neutral
1038,neutral
970,positive
878,positive
853,positive
826,positive
748,positive
724,positive
704,positive
584,positive
484,positive
239,neutral
172,positive
24,positive
2859,positive
2785,positive
2672,positive
2586,positive
2578,neutral
2577,neutral
2552,positive
2545,neutral
2514,positive
2307,positive
2237,positive
2198,neutral
2169,positive
2064,neutral
1996,negative
1916,positive
1886,positive
1833,positive
1777,positive
1774,positive
1760,positive
1632,positive
1628,positive
1464,positive
1379,neutral
1366,positive
1090,positive
993,positive
978,positive
959,positive
921,positive
2703,neutral
2667,neutral
2665,positive
2664,neutral
2654,negative
2627,positive
2587,positive
2581,positive
2540,positive
2457,positive
2446,negative
2431,positive
2368,positive
2342,positive
2330,positive
2310,neutral
2300,positive
2266,negative
2256,neutral
2253,neutral
2216,neutral
2209,positive
2179,neutral
2158,positive
2130,positive
2109,positive
2084,positive
2029,positive
1985,positive
1973,neutral
1780,positive
1763,positive
1556,positive
1547,positive
1544,positive
1527,positive
1511,neutral
1503,positive
1439,positive
1418,positive
1324,positive
1308,positive
1274,neutral
1114,positive
1047,positive
1019,positive
1009,positive
998,neutral
946,positive
916,positive
895,neutral
842,positive
776,positive
773,neutral
723,neutral
690,positive
689,positive
638,positive
630,positive
605,positive
563,positive
539,positive
500,positive
493,positive
469,positive
454,neutral
453,negative
437,positive
403,positive
221,neutral
214,positive
114,neutral
2987,positive
2951,positive
2818,positive
2784,neutral
2756,positive
2580,negative
2571,positive
2460,positive
2428,neutral
2393,positive
2361,positive
2321,positive
2258,positive
2239,positive
2191,positive
2163,positive
2162,neutral
2139,positive
2062,positive
2057,positive
1769,neutral
1739,neutral
1562,neutral
1561,positive
1536,positive
1520,positive
1322,positive
1321,positive
1306,neutral
1288,negative
1262,positive
1251,positive
1190,positive
1183,positive
1165,neutral
1153,positive
1138,positive
1085,positive
1077,positive
986,positive
947,neutral
898,positive
880,positive
879,positive
795,positive
780,positive
460,positive
441,neutral
432,positive
344,neutral
317,positive
240,neutral
135,positive
75,neutral
73,positive
53,neutral
1530,positive
1528,positive
1521,positive
1515,positive
1486,neutral
1452,positive
1438,positive
1389,positive
1355,neutral
1264,neutral
1247,neutral
1242,positive
1240,positive
1220,positive
1200,positive
1055,positive
990,neutral
870,positive
850,positive
848,positive
845,positive
822,neutral
820,positive
764,positive
737,positive
717,neutral
634,positive
609,positive
599,positive
581,neutral
575,positive
556,positive
541,positive
478,positive
473,positive
457,positive
396,positive
329,positive
320,positive
315,positive
312,neutral
295,positive
278,positive
262,negative
256,positive
223,neutral
205,negative
198,positive
180,negative
153,positive
129,positive
104,positive
51,positive
2985,positive
2969,neutral
2962,positive
2937,neutral
2822,neutral
2739,neutral
2694,positive
2606,positive
2600,neutral
2593,neutral
2565,positive
2530,positive
2513,neutral
2502,positive
2497,positive
2467,positive
2397,positive
2385,positive
2348,positive
2319,positive
2269,positive
2214,positive
2202,neutral
2190,positive
2061,positive
2027,negative
1972,positive
1958,neutral
1913,positive
1770,positive
1750,positive
1742,neutral
1738,neutral
1656,positive
1603,positive
1559,positive
1558,positive
1428,positive
1402,positive
1397,positive
1376,positive
1359,positive
1351,positive
1328,positive
1268,positive
1182,positive
1169,positive
1127,positive
1039,positive
976,positive
934,neutral
920,positive
909,neutral
884,positive
862,positive
823,positive
806,positive
790,positive
734,positive
518,positive
512,positive
461,positive
395,neutral
327,positive
285,positive
208,positive
163,positive
41,positive
23,negative
2991,positive
2966,positive
2942,positive
2816,negative
2810,positive
2752,positive
120,positive
68,neutral
2989,neutral
2959,neutral
2921,neutral
2869,neutral
2860,neutral
2754,positive
2741,positive
2738,positive
2736,neutral
2730,neutral
2728,positive
2709,positive
2661,neutral
2616,neutral
2614,positive
2610,positive
2597,positive
2570,positive
2556,positive
2542,positive
2534,positive
2518,neutral
2496,positive
2480,positive
2404,positive
2377,neutral
2349,positive
2344,neutral
2304,positive
2278,positive
2240,positive
2072,neutral
1984,neutral
1983,positive
1929,positive
1909,negative
1819,neutral
1805,positive
1798,positive
1790,positive
1782,positive
1689,positive
1624,positive
1518,positive
1514,positive
1487,positive
1475,positive
1465,neutral
1429,positive
1410,neutral
1350,positive
1342,positive
1239,positive
1226,neutral
1199,positive
1185,positive
1167,positive
1160,positive
1159,positive
1149,positive
1117,neutral
1080,neutral
1056,neutral
1044,positive
1034,neutral
1011,neutral
988,positive
958,positive
950,positive
948,positive
871,positive
864,neutral
830,neutral
814,positive
800,positive
757,positive
741,neutral
711,positive
696,positive
669,positive
657,positive
654,positive
595,positive
573,positive
531,neutral
526,positive
522,positive
458,neutral
397,neutral
331,positive
326,positive
299,negative
294,positive
219,neutral
213,neutral
186,positive
182,neutral
70,neutral
58,neutral
2996,positive
2955,positive
2925,positive
2786,positive
2761,positive
2720,positive
2613,positive
2524,positive
2445,positive
2384,positive
2175,neutral
2129,positive
2111,positive
2088,neutral
2082,negative
1986,neutral
1981,neutral
1924,neutral
1923,positive
1915,neutral
1816,neutral
1753,neutral
1751,negative
1615,neutral
1592,positive
1591,positive
1539,positive
1604,positive
1599,positive
1543,negative
1517,positive
1509,positive
1504,neutral
1498,neutral
1497,positive
1495,positive
1470,positive
1453,positive
1409,positive
1407,neutral
1380,positive
1347,positive
1333,positive
1271,positive
1202,positive
1194,positive
1178,positive
982,positive
980,neutral
883,neutral
877,positive
860,positive
827,neutral
745,positive
740,neutral
731,neutral
709,neutral
706,neutral
649,neutral
536,negative
475,positive
465,positive
412,neutral
409,positive
309,neutral
230,positive
185,positive
151,positive
142,neutral
126,neutral
2990,positive
2938,neutral
2936,positive
2916,negative
2769,neutral
2743,negative
2719,neutral
2716,positive
2696,positive
2693,positive
2671,negative
2656,neutral
2655,positive
2637,positive
2632,positive
2582,positive
2557,negative
2549,neutral
2504,positive
2478,positive
2474,positive
2470,neutral
2433,positive
2399,positive
2387,neutral
2364,neutral
2363,positive
2347,positive
2331,positive
2314,neutral
2242,positive
2234,positive
2230,positive
2225,positive
2221,positive
2212,neutral
2208,positive
2200,neutral
2186,positive
2183,positive
2133,negative
2086,positive
2068,positive
2059,neutral
2030,positive
1895,positive
1880,positive
1835,positive
1741,negative
1697,negative
1657,neutral
1476,positive
1471,positive
1468,positive
1463,neutral
1446,positive
1400,positive
1344,positive
1278,neutral
1266,positive
1216,neutral
1204,positive
1180,positive
1172,positive
1150,neutral
1120,positive
1098,positive
1036,positive
1024,positive
1002,positive
999,positive
893,positive
855,positive
833,positive
781,negative
672,positive
667,neutral
568,neutral
538,positive
532,positive
503,positive
470,neutral
258,negative
206,positive
201,positive
107,neutral
106,neutral
45,positive
40,positive
32,negative
7,positive
2992,neutral
2947,positive
2879,neutral
2823,neutral
2804,positive
2788,positive
2760,positive
2699,neutral
2683,negative
2648,positive
2638,positive
2615,positive
2584,positive
2576,neutral
2572,neutral
2535,positive
2491,positive
2452,positive
2441,negative
2422,positive
2414,positive
2409,positive
2395,positive
2379,positive
2375,positive
2357,neutral
2352,positive
2296,neutral
2231,neutral
2184,positive
2103,positive
2093,positive
2074,negative
2042,positive
2038,neutral
2022,positive
2015,neutral
1991,positive
1971,positive
