Uid,Sentiment
24737,positive
32463,negative
14285,negative
13927,neutral
21509,positive
22161,neutral
18004,negative
28463,positive
13282,neutral
19105,positive
23974,neutral
3851,negative
24590,neutral
11679,positive
27775,neutral
14497,negative
15189,negative
36296,positive
31574,positive
42713,positive
28789,positive
4778,neutral
43308,neutral
7173,neutral
64,neutral
14537,neutral
25586,neutral
21198,neutral
20152,negative
13342,neutral
14705,neutral
37177,negative
15993,positive
15302,neutral
30890,negative
26317,neutral
40358,positive
24618,neutral
32466,positive
14266,positive
17601,neutral
33238,neutral
10367,positive
18699,positive
36185,positive
23027,neutral
25706,positive
9764,negative
8468,positive
23410,neutral
7426,neutral
16648,negative
24261,positive
21032,neutral
13308,negative
16246,neutral
43527,positive
36746,neutral
6090,neutral
27482,positive
32452,neutral
32036,positive
13510,neutral
36358,neutral
22733,neutral
15277,neutral
24189,neutral
22781,neutral
29188,neutral
13116,positive
25470,neutral
16098,negative
1271,neutral
19000,neutral
27795,positive
18881,positive
14522,positive
8921,neutral
36632,positive
16501,neutral
17990,neutral
34400,positive
36328,neutral
15966,positive
24337,neutral
1025,negative
26861,positive
32093,neutral
37920,neutral
22476,neutral
44939,neutral
32803,neutral
38314,neutral
23729,positive
9524,positive
16574,neutral
22272,neutral
44551,positive
14142,neutral
4578,neutral
21950,neutral
5825,neutral
11662,neutral
13231,neutral
13597,neutral
25345,neutral
17253,neutral
27444,neutral
38338,positive
44956,neutral
20458,neutral
38700,positive
13265,neutral
12415,neutral
13307,neutral
44393,neutral
21311,neutral
19139,neutral
12538,neutral
30178,neutral
34633,neutral
38785,neutral
37114,neutral
19837,neutral
35253,neutral
16892,neutral
29711,neutral
12541,neutral
19266,positive
11976,neutral
44663,positive
18913,neutral
5395,positive
19047,negative
27751,positive
28865,negative
30262,neutral
16620,neutral
28368,positive
25509,negative
16598,positive
6881,neutral
7236,neutral
43131,neutral
7044,positive
26867,positive
30589,negative
17274,negative
23431,neutral
16614,positive
29860,positive
1393,neutral
11330,negative
33426,positive
20057,positive
37654,neutral
22720,positive
19668,neutral
7711,neutral
1185,positive
23907,neutral
24621,positive
14282,negative
33543,neutral
6647,negative
19961,neutral
4142,neutral
38761,positive
36210,positive
4372,positive
24062,neutral
13960,neutral
17582,positive
13564,positive
12877,negative
22115,positive
31855,positive
2518,neutral
9428,positive
38635,neutral
26894,positive
23235,positive
35565,neutral
21845,neutral
2175,positive
14795,negative
19333,positive
41384,neutral
40274,positive
20347,neutral
16507,positive
20594,neutral
8772,negative
16353,positive
22086,neutral
14151,neutral
41883,positive
885,positive
39517,positive
10120,neutral
25075,neutral
31189,neutral
8201,positive
22376,positive
