Uid,Sentiment
3,negative
12,neutral
23,negative
24,neutral
45,neutral
61,negative
64,neutral
77,neutral
81,neutral
101,neutral
145,negative
167,negative
252,positive
288,neutral
318,negative
337,negative
348,negative
352,negative
359,negative
416,neutral
439,negative
462,neutral
466,positive
469,positive
497,negative
529,positive
561,neutral
569,positive
576,negative
605,positive
629,negative
712,neutral
715,positive
740,positive
743,neutral
745,negative
747,neutral
775,positive
781,neutral
797,neutral
807,neutral
837,neutral
870,neutral
880,negative
885,positive
892,neutral
895,negative
906,positive
939,neutral
962,positive
988,positive
996,negative
1008,positive
1015,neutral
1025,negative
1031,negative
1038,negative
1059,positive
1105,neutral
1114,neutral
1179,negative
1185,positive
1195,negative
1207,negative
1246,positive
1247,positive
1271,neutral
1316,negative
1334,negative
1338,positive
1357,neutral
1362,positive
1378,positive
1393,neutral
1400,negative
1415,negative
1419,negative
1425,neutral
1463,neutral
1472,positive
1476,neutral
1499,neutral
1511,negative
1537,negative
1539,neutral
1541,neutral
1543,positive
1550,neutral
1553,neutral
1618,negative
1645,negative
1656,positive
1664,positive
1678,neutral
1694,neutral
1699,negative
1701,positive
1706,negative
1753,negative
1767,negative
1784,negative
1808,neutral
1828,neutral
1859,neutral
1871,negative
1888,negative
1900,neutral
1910,neutral
1917,positive
1920,positive
1934,positive
1969,positive
1977,negative
2014,negative
2042,negative
2060,negative
2069,neutral
2079,negative
2101,positive
2102,negative
2122,neutral
2127,negative
2130,positive
2131,positive
2145,neutral
2175,positive
2186,positive
2190,neutral
2229,neutral
2242,neutral
2265,negative
2276,neutral
2278,neutral
2281,positive
2294,positive
2295,neutral
2304,negative
2330,positive
2363,negative
2371,neutral
2376,neutral
2388,neutral
2395,negative
2401,negative
2425,positive
2431,positive
2450,positive
2467,neutral
2476,positive
2477,negative
2485,negative
2517,neutral
2518,neutral
2524,negative
2536,negative
2538,positive
2542,neutral
2549,positive
2557,neutral
2567,neutral
2580,neutral
2591,neutral
2604,positive
2615,negative
2616,positive
2657,negative
2665,positive
2670,negative
2674,neutral
2698,negative
2705,neutral
2722,neutral
2728,negative
2731,neutral
2752,positive
2780,positive
2793,negative
2799,negative
2804,negative
2807,positive
2819,negative
2861,negative
2866,neutral
2882,negative
2910,positive
2913,positive
2975,negative
2982,positive
2991,neutral
2993,positive
2994,neutral
3010,neutral
3013,neutral
3028,neutral
3063,positive
3068,neutral
3081,positive
3098,negative
3136,negative
3138,neutral
3139,positive
3151,neutral
3155,neutral
3163,negative
3184,neutral
3190,negative
3195,positive
3235,neutral
3249,negative
3276,neutral
3330,positive
3335,negative
3337,negative
3439,positive
3441,negative
3457,positive
3459,negative
3461,negative
3463,neutral
3480,negative
3495,positive
3497,neutral
3517,positive
3522,positive
3542,negative
3551,negative
3561,negative
3576,negative
3614,negative
3623,neutral
3624,negative
3639,positive
3658,neutral
3659,neutral
3665,negative
3695,neutral
3706,negative
3717,positive
3726,negative
3753,neutral
3766,neutral
3796,positive
3809,positive
3833,positive
3851,negative
3857,negative
3860,positive
3898,positive
3904,neutral
3941,negative
3954,positive
3963,positive
3971,negative
3975,negative
3983,negative
4036,positive
4045,negative
4049,neutral
4123,negative
4142,neutral
4145,positive
4175,neutral
4191,neutral
4201,negative
4221,positive
4229,negative
4285,neutral
4313,positive
4314,neutral
4347,neutral
4350,neutral
4372,positive
4396,positive
4417,neutral
4426,negative
4474,negative
4479,positive
4481,negative
4491,positive
4511,positive
4516,positive
4534,neutral
4537,negative
4568,positive
4577,positive
4578,neutral
4605,neutral
4618,neutral
4628,positive
4674,neutral
4693,neutral
4696,negative
4712,neutral
4735,negative
4740,neutral
4742,neutral
4743,positive
4746,neutral
4759,positive
4762,negative
4763,neutral
4778,neutral
4785,neutral
4797,negative
4840,negative
4847,negative
4859,positive
4887,neutral
4903,neutral
4927,neutral
4989,positive
5012,positive
5043,positive
5055,neutral
5082,positive
5090,negative
5093,negative
5102,negative
5109,positive
5129,positive
5146,negative
5150,neutral
5153,negative
5177,neutral
5193,positive
5255,neutral
5301,neutral
5307,negative
5320,neutral
5321,negative
5346,positive
5349,positive
5395,positive
5430,neutral
5476,positive
5499,neutral
5530,neutral
5545,negative
5558,neutral
5608,positive
5635,negative
5684,neutral
5712,positive
5715,negative
5726,negative
5777,negative
5808,neutral
5815,neutral
5825,neutral
5831,positive
5846,negative
5869,neutral
5915,negative
5969,positive
6005,positive
6016,positive
6088,positive
6090,neutral
6106,negative
6111,neutral
6154,negative
6155,negative
6157,negative
6182,positive
6187,negative
6191,positive
6199,neutral
6204,positive
6220,negative
6241,neutral
6253,positive
6271,neutral
6277,negative
6297,negative
6322,negative
6352,neutral
6359,negative
6362,positive
6376,positive
6390,positive
6412,neutral
6454,positive
6456,negative
6490,positive
6492,negative
6497,negative
6499,positive
6546,positive
6568,positive
6602,positive
6613,positive
6638,negative
6647,negative
6706,negative
6745,positive
6773,positive
6799,neutral
6803,positive
6818,negative
6828,negative
6881,neutral
6884,negative
6921,negative
6963,negative
6974,negative
6989,neutral
6993,positive
7044,positive
7077,negative
7078,neutral
7122,negative
7157,positive
7173,neutral
7185,positive
7194,neutral
7206,negative
7217,positive
7228,negative
7236,neutral
7262,neutral
7273,neutral
7331,negative
7338,neutral
7350,positive
7354,negative
7370,positive
7390,negative
7423,neutral
7426,neutral
7436,negative
7507,negative
7523,negative
7532,negative
7548,negative
7580,neutral
7597,negative
7621,positive
7626,negative
7677,positive
7697,positive
7700,positive
7702,positive
7711,neutral
7715,positive
7758,neutral
7787,negative
7795,positive
7815,positive
7829,neutral
7833,positive
7841,negative
7853,negative
7901,negative
7917,negative
7942,negative
7945,positive
7967,negative
7968,positive
7971,negative
7981,positive
7987,positive
8027,positive
8032,neutral
8050,negative
8059,negative
8075,positive
8092,negative
8097,negative
8098,neutral
8104,neutral
8121,neutral
8124,positive
8151,neutral
8173,positive
8179,negative
8190,positive
8201,positive
8214,neutral
8224,negative
8241,neutral
8246,negative
8261,negative
8276,negative
8278,neutral
8317,negative
8338,neutral
8359,neutral
8369,negative
8379,neutral
8445,neutral
8447,negative
8455,negative
8468,positive
8470,negative
8477,negative
8479,negative
8502,neutral
8519,neutral
8539,negative
8549,negative
8573,neutral
8577,positive
8601,positive
8641,neutral
8689,neutral
8692,negative
8771,negative
8772,negative
8776,neutral
8780,neutral
8839,positive
8886,positive
8896,neutral
8915,positive
8917,negative
