uid	text	label
4330	nen á vist bolest vztek smutek ज़मातेक ोसम ě lost beznad ě ज a nakonec जेन कलिद असि तखले विपद á म ů j life ...	1
41616	हाँ यार नेहा कब करेगा वह पोस्ट उसने न सच में photoshoot करना चाहिए फिर वह पोस्ट करेगा  	1
6648	television media congress के लिए नही ह . ये तोह आपको पता चल ही गया होगा . अच्छा होगा कि कांग्रेस ke  	0
2512	आल इंडिया me ंर्क लागु करे w कश्मीर से dhara 370ko ख़तम करे हम इंडियन को आपसे यही उम्मीद है	2
610	who पागल है क्या ? They aren ’ t real issues Mandir is important Hindu खतरे में जो है !	1
14356	जीत की ढेर सारी शुभ कामनाएं मोदी जी आशा करता हु जिस्तरह देश की जनता ने खास कर बिहार की jant  	2
5840	but टोपी वाले बाबू की तउ new job होगी हुमेय छुट्टी कैसे मिले गई ?	0
32791	Ye मोदी media वालों को भी मज़ा आता है हिन्दू मुस्लिम के डिबेट करने में	1
37480	Baih तेरे ितजी क्या जलती है पाकिस्तान se chutiye खेलने दे न उन्हें बस तू इंडियन भी नहीं h  	0
16395	हहै . I saw that coming . And it ’ s actually from someone ’ स शादी .	1
33428	Can you answer miscalculated votes on each seat ? One vote मैटर्स ! है और अपने dhji  	1
19222	Allah pak ोस क दिल का दरवाज़ा कबि off नै करता जो sb k lyhe अचे एह्सास और दुआ दिल म रखता हो . Aajzi	1
8422	बहुत ही समझदा से Cingress ने ये फैसला लिया है . और उम्मीद करता हूँ क देश के सभी Party  	1
26930	RT Tu सफ़र मेरा तू ही मेरी मंज़िल .... तेरे बिना गुज़ारा ए दिल है मुश्किल .... ी लव ु !! 	2
40285	दोबार से PM बनने की आपको ढेर सारी शुभका उम्मीद ही आपके इसा कार्यकाल में देश बहुत सी नयी उपलब्धि क  	2
21403	वे can face life together and we can spend my money on the both of us but it ’ s still माय मनी	2
35826	वाह किसी ने खूब लिखा के शामा खुद को जला के जहा को रोशन करदेता है फिर किया था अपने आपने आप को ba  	2
18017	तानी अबे हाटट तुम flop लोगो की औकाद ही किया ह चुतिया लोग जा ापिजां की चापलूसी कर bad  	0
39736	star77 Ohho वैरी beautiful आईज यररररर	2
15893	एवरयोने शिट थे फ़क UP 	0
5433	हराम खोर लोग उल्टा चोर कोतवाल को डांटे !! Mulk torney की बात करने वाले को और फूलों के हर pehn  	0
23492	RT army फिन Also Stade de France is preparing for the concert . Looks so बेऔतिफु !smiling face with heart-eyes See their post on Instagram 	2
13515	जय श्री राम जरुरत नहीं आंदोलन की गुरूजी मोदी h तो मुम्किंन ह Pls trust our PM	2
34678	फिर से लूट चालू हो गया बीजेपी वालो तुम्हे कुछ छूट मिल रहा है या नहीं मिलना तो चाहिए क्यू ki  	1
11310	जिनको खुद नहीं पता की रामचरि क्या है वो भेज रहे ः BJP नेता को पहले खुद समझना चाहिए f  	1
27883	अबे यही है राम राज्य क्या जिसमे सभी सेल हरामी हो जो सेल इतने बेरहम से मार रहे हो मोदी देखना बे सेल तेरे  	0
16679	हस मय्बे I'll faing and I won't feel a thing .	1
26920	दुनिया में दिल कोई कभी न दड़का होता ददखा है दिल ा यार मिल ये प्यार का इज़हार है कहो न प्यार है दो प्रेमी दो p  	1
35982	I'm poor poor-ever happy कैसे गोद is with में	0
14603	मैडम जी we always miss you as a मंत्री	2
37801	शर्मा Saw the episode . Nice ओने सर . मान गए यार शर्मा सर आप बहुत हिम्मत व  	2
18824	Happy Birthday Doctor साहब भगवान् आपको खुश or swasth रखे और आप हमे ऐसे ही अपनी creativity से हंसाते रहे	2
21543	तेरी कीमत डोकोडी की हो गयी ... अमित शाह will capture telegana soon ... kcr will resign ...	0
19116	एक भे poj भाई वाला महे है सब चिपका कर रखी है यह भाई बहन का प्यार है .. 	2
44557	ममता Banerjee न जाने हो क्या है तुमको ये देश राम का है हार का घुम म डूबी हो बस b  	0
2359	स्टिल far better than MMS govt ... so if ु र so connected with numbers and economy .... can u शेयर your  	1
1445	चंदा make a gentle and nice relation with someone .... लाइफ में किसी क सहारे की ज़रूरत पड़ती है	1
5440	चंदा should ी hope fr the best - D	1
7229	वो हूँ Cricket World Cup starts today ! Good लक to hosts in the tournament - hope for a good st  	1
27364	Family background का केह नि सक्ते कॉज कई लड़कियां फेक नाम साई िदश बनती ह n pics upload करती बिना घर वालो की इजाज़त क	1
40382	Mp साहब dr मनोज राजोरिया ग को जीत की हार्दिक सुभ्कम्न	2
27897	कोई अपना नहीं घूम क maare murdered raped fucked shredded to bits है हम ~	0
35758	Back to 100% अगेन !! करते चोप्पड़ ठाट कोल्ड क्विकली . Feels good तो फील गुड * वाआग *	2
38461	RT सादजी किसी ने भेजा ह आपके लिए 	1
32467	गडकरी सर् बधाई हो सर आगरा के मेयर को समझाओ कुछ करे .... मोदीजी राज इस ..... रामरज .... बूत ... 	2
33309	रत थिस painting has 40 famous Indian ads hidden in it . 1) Which is तने favourite symbol of an ad you can spot ? 2) Anyone k 	1
10989	ी ’ m सो फकन पिस्ट I lost my damn YSL shades	0
18753	ी give Araki a lot of credit for हाऊ कुछ detail and work goes to making his characters Then again hes been at it  	2
25483	मोदी जी ये सब तो होता रहेगा लेकिन पहले राम मंदिर बनवाओ ... धरा 370 हटाओ .. Hindurastra घोसित करवाओ ... Logo  	2
13396	पागल कुत्ते के सामने रोटी डालना सही नहीं है यह शोले में ठाकुर साब बोलके गये the logbog 50 साल p  	2
7897	RT िम सो PROUD ऑफ़ यू !!!! ई लव यू .. congratulations to यू + all your homies ! 	2
26915	Muslims muslims muslims जब मुसलमा को ही उनकी खुदकी इज़्ज़त की खुद के देश की खुद के होने की खुद की नस्लों की  	0
8238	हद्द है कमीने पन की आपको पता है ये केव ' जेल ' गया है ये बिना आर्डर ke railway platform pa  	0
28701	It's not विश्वास थत ु guys want .. इतस मोदिजि थत ु डोंट वांट .. Even if God comes and tel  	0
40128	Party and candidate's nahi देखे होंगे बस मोदी को जितना हे कर के वोट दिए	1
14505	न्ही ग हम आप की तरह नही हे पटवारी की ओलाद हम Pakistani he और Pakistan सय प्यार कृत्य . H  	2
22273	तुम कभी नहीं सुधरोगे fact check फिर बात कर चूतिये	0
35558	जय श्री राम हज़ turned out to be the वन्दे Mataram of the दय !  	1
8199	best wishes for world cup and ईद मुबारक to you फ्रॉम मुज़फ्फर हसन National general secretary LJP  	1
2144	आर्थिक मदद नहीं वॉ Pakistan की आवाम का हक़ था . और यह RSS ke propoganda publication अपने पास ही रखो .	1
23844	ये काफी है की हम दुश्मन नहीं हैं Wafa'dari का दावा क्यों करें हम – thinking about Something	1
8910	Actually इनके पास अब नाज़ करने के लिए कुछ बचा ही नहीं है तो हक़ीक़त पसंद ban  	0
33576	RT No ओने में तरीना find the perfect watermelon 	1
28206	match ज़रूर देखना दुःख फ्र झलना ये खेल है टैलेंट का न पर्चियों का baserra	1
32666	He sort of like caused my लव for Pomeranians here is a picture of her with her chew toy in her litt  	2
26044	awwwie thank यू लौ . गुड morning ?	2
19034	RT You mean our problem was being democratic ? विवेक तुम जो कटोरी मैं attention की भीख मांग रहे हो उसपे खून लगा है .	0
13152	Greetings to dearest friend shri ji on their birthday माँ आशापुर ब्लेस्स you with lots of love happ  	2
17992	रत वांदा In this month of Ramadan all my positive heart desires and prayers for my family and friends will be granted . इंशा अल्लाह 	2
23129	RT मारवाडी रोशन ोये रोशन मेह JCB की खुदै देख क आया रोशन 	1
15581	& आल d other  	1
8604	RT spotter ये सिर्फ पौराणिक कथाओं में पायी जाती थी वास्तवि से इसका कोई सम्बन्ध नहीं है	1
20097	RT BJP leader Vishwas सारंग in भोपाल तबादला udyog Congress की सर्कार में फैल रहा है विधायक इस व्यापर के केन्द्राबि पर ह 	1
5225	तुम apny Indian की फिक्कर करो पाकिस्तान को हम खुद dykh lyngy . मुक्ति बहिनी 2 नहीं ban  	1
31039	ूप की सर्कार जिसकी बुन्याद पे तिकी ह वो आज अपने . मुकाम पे पहुँच गयी .... लघुसन की देरी ः फिर  	2
41953	अलविदा JUMMA-2019 मुबारक तो आल ... दुआ की गुज़ारिश ..... 	2
43996	सर ये मोदी के नाम पर वोट पड़ा ह आप कभी औ यमुना नगर की Rajiv garden bank calony में देखो लोगो का  	1
18866	जयदा ज्ञान न पेलो और डेमोक्रैस का मजाक उड़ाना बंद करो थोड़ा competition देते और ये बात बोलते तो thi  	2
28950	खान भाई अंकुश खुश रहो ! I'll pray for ु .. सोज़ I क्नोव नफ़रत से कभी किस  	2
36545	Now this ी टू मच अब सारे ट्वीट अरसल के support में जब जिया का मन नही एंड वो चाय नही बना सकती यासित के liy  	1
2745	जाज़ साब को सालो साल के pending case को सौलतिओं में मज़ा नहीं आता * इनको to public paise monthly केस मिलजाए *	0
38245	RT पापाजी धन धन सतगुरु तेरा ही आसरा गुड morning जी मुगजी तू 	2
31302	• She is not a बची piece or माल • शी is ( रेहमत )	1
11709	RT मत कहो दिल से तो नहीं हो और वैसे शकल का तो मझे पता नहीं बूत ऐसा kch मटेर नहीं करता 	1
20225	thx to every single memer for making our day ु गाइस r amazing जिन्दाबा  	2
34859	RT Non-stop hoga entertainment par कौन देगा performance सबसे बेस्ट ? Watch out for Sat-Sun 9 PM . 	1
42434	हेरे तो फिर जो आतंकवाद उसकी जात मुस्लमान क्यू होती और जो all ready मुस्लमान ह वह यह बात q  	0
23986	तुम हमे यूँ भुला न पाओगे .... 	1
37553	Soul Tony stark का दिल तोह ये लेके घूम रहा है	2
4443	गुंडे साले ..... ै hall में बैठ क ंत bhonk बे योगेन्द्र aukat ह to Gurgaon क किसी एक बंदे का c  	0
37414	Bengal बीजेपी में तमस के कुछ ग़लत नेता अपने एप्प को बचने को जोगदान कर रहे हे इससे पार्टी का support barne के बज  	1
26700	रत ी ’ m actually not that arsed about Liverpool winning it good on them . The Premier League joke still stands they already had m 	2
19318	हैप्पी बर्थडे pretty girl thank u for all the good agnes memories . cards soon ? हाहाहाहा एन्जॉय your day !!!! 	2
19685	जन शर्म और हया की क़ीमत लगवाई है इस लिए to इस कुत्ते को ये seat miliy ... हर हकूमत क talway chatny वाला है ये	0
16219	सर लाइफ का एक सपना है कभी किसी दिन आप से एक मुलाकात करना लोग नेताओं क फैन होते हैं मै आप का  	1
14905	रत thank you dear Shahrukh for योर love and encouragement	2
13262	मेरे भाई यह शरीयत तो पहले से ही इंडिया मई सिर्फ मुस्लिम्स के लियह है और रहेगी इन्शाल्ला . 	2
33719	superb look very handsome 	2
30635	or बोहत पख्तूनों को Pashtunistaan का नशा चढ़ा हुआ है आज कल होश में आ जाओ वरना सच की मार् पढ़े गए इस bar	0
26753	धूप आरती श्री Sai बाबा मंदिर शिर्डी 31 में 2019 बाबा Bless all with all the happiness of the वर्ल्ड ॐ साई राम  	2
9677	Amit शाह जी please Jet Airways ke employee ke बारे में कुछ करिये परिवार वाले बहुत परेशान है भूखे मर रहे हैं	2
20043	abroad property रख कर छूपने wal respectfull hota हे ... अकाम ने पनामा ... Harami वसीम अब्बासी	0
27049	Respected rahul सर dont disappoint you ु र a great leader आप की सोच आप  	2
19215	same did you watch the बेट ों में परफ ?? थे choreo is kinda sexy but it fit Shihyun so much	2
4647	जय बजरंग Bali 	2
41076	Good वाला तो सही h थोरा बट बद का last अजीब ः	1
4034	हरामज़द हमारे टुकड़ो पे पलता है हमें आँख दिखाता है ... कुत्ते तू पागल हो गया  	0
25360	RT हाय ..... एंट्री हो तोह ऐसी ..... बेस्ट part of today's episode !! 	2
33442	SSidhu िन्द Inse न हो पाएगा	0
24139	माय 12 year old declared her record of watching बादशाह on TV50 times . Claims to be your biggest fan . She do  	1
18846	नहीं मूत sorry health department sare hospital बंद करो सब को पहले घर का gaumutra दो सब bimari  	0
29030	मैं प्रियंका प्रकाश मोदी दादा की पोती ..... मैं उनसे कहना चाहती हूँ की इस बार मेरे दादा ye v सपाट ले की दहेज़  	2
22594	RT It's not easy to make it easy लव ु bhaji हाँजी कीड़ा लागय मूवी जिना न्य नह 	2
12417	सर ये इलेक्शन कमिसिओ को गली नै de रहे ये govt Employee ko गली de रहे Jo election करता है	1
31335	तू बहुत पीटेगा एक दिन बे चूतिये .... सेल तेरी हिम्मत कैसे हुई voters ko इडियट्स बोलने की ..... अबे उजड़े  	0
