text	label
Yअर् zahid .. That girl is not eligiable for this post . Sअब्ब्ब् गोअल् maa  	1
आरे भै कोइ चिन्त नहि णिशन्त् Verna Ashutosh Mishra और् बहुत् सरे Cओन्ग्रेस्स् ke unofficial spoke  	1
णम्स्ते सिर् ंओदि जि मेरे पस्स् आप्के लिये एक् cओम्प्लैन् है आप्कि प्रधन्मत्रि awas योज्न क्य सर्करि na  	1
ओओओह् the head covers remind me a lil of those उह्ह् danish special forces frog men ? These are super rad lovely color work	2
Bअहुत् बहुत् बधै ओर् सुभ्कम्नये 	2
Wआलकुम् उस् Sअलम् same to you with prayers खोश् Rअहन् जेतेए Rअहन्	2
Hi Sओनिय Yओउ might be interested in GT4T . It is an app that runs on Windows / Mac . It enables you  	1
एट् हान् मुझे भि अभि आय थ अफ़्तेर् i cancelled my ola ride I heard the caller sayin  	1
Rअहुल् - टुम् सब्ने मेरे Comedy shows से कित्न कमय ब्तओ ( Sओनिअ - आब् मेरे च्होरे क क्य होग ) 	1
Vइधि क विधन् है Jin BJP परिवर् के बतोन् कि TMC ne ःअत्य कर् दि उन्परिवरोन् को डिल्लि लय ज रह है ंओदिजि के  	2
बcचि ःएय् जुस्त् see your account एक् dum celebrity wala लग् रह है victory hand face with tears of joy face with tears of joy face with tears of joy	1
ळोग् Bइवि के ळिय ंआ को बुल देते है उस्के Jअज़्बात् को सुलि पर् चध देते है भुधे मा बाप् के जो काम् नहि अओगे  	0
kuch ज़यद हि गरज् चमक् न्हि रहे president sb ये न हो उस् दिन् ये खुद् घैब् हो	0
ख़्हत्तक् ःअहह afghani is telling others about पक् मेदिअ lolz . षुत् your mouth you वलर् कि पेदैश् लौदय् बाज़्	0
RT सलमत् कय् माम् हुए उग् sushi 	1
एक् होते हैन् भोले लोग् एक् होते हैन् भ्त् भोले लोग् Pह्र् अते हैन् Wओ लोग् जो स्म्झ्ते इस् br pakistan जेएते ग winking face grinning face with sweat face with tears of joy face with tongue smiling face with sunglasses	2
RT Yए side wala Rअहुल् को कैसे जुन्ग्ले कुत्ते कि त्र्ह देख् र्ह ह् .... सोच् र्ह है कैस नमुन पैद किय है सोनिय ने 	0
Cओन्ग्रेस्स् को झुत् बोल्न भग् जान आरोप् लगन और् विरोध् कर्न येहि आत है ईस्को तिcकेत् नै दिय elect  	0
ंउन्गेरिलल् के सप्ने हैन् आचर्य Jइ Yओउ are so intelligent and logical but योउ are riding wrong bo  	2
Hey Happy बिर्थ्दय् God ब्लेस्स् उ देअर् बस् ऐसे हि खुश् रहोउचल्ते पुचल्ते रहो कि तरह्लोगो a  	2
आआस् अरे fine I don't have a प्रोब्लेम् आआइन्ग् any character . ग़ोत् तो use other means it's not gonna universal for each character	1
ग़्हन्त ... मत् दो सले को मर्ने दो .. aur publicly इस्कि मौत् दिखओ चुतिये दरेन्गे तभि attankwad se दुर् रहेन्गे	0
