text	label
nen á vist bolest vztek smutek zmatek osam ě lost beznad ě j a nakonec jen klid Asi takhle vypad á m ů j life ...	1
Haan yaar neha kab karega woh post Usne na sach mein photoshoot karna chahiye phir woh post karega  	1
television media congress ke liye nhi h . Ye toh aapko pata chal hi gya hoga . Achha hoga ki Congress ke  	0
All India me nrc lagu kare w Kashmir se dhara 370ko khatam kare ham Indian ko apse yahi umid hai	2
who Pagal hai kya ? They aren ’ t real issues Mandir is important Hindu khatre mei jo hai !	1
jeet ki dher sari subh kamnaye modi ji asha karta hu jistarah desh ki janta ne khas kar Bihar ki jant  	2
but topi walay babu ki tau new job hougi humey chutti kesay milay gi ? loudly crying face loudly crying face loudly crying face loudly crying face	0
Ye modi media walon ko bhi maza ata hai hindu Muslim ke debate karne me	1
Baih tere itjey Kya jalti hai Pakistan se chutiye khelne de na unhe bc tu Indian bhi nahi h  	0
Hehe . I saw that coming . And it ’ s actually from someone ’ s shaadi . star-struck	1
Can you answer miscalculated votes on each seat ? One vote matters ! hai aur apne dhji  	1
Allah pak os k Dil ka darwaza kbi off nai krta jo sb k lyhe ache ehsas aor Dua Dil ma rkhta ho . Aajzi	1
Bahut hi Samajhdari se Cingress ne ye Faisla liya hai . Aur ummeed karta hoon k Desh ke sabhi Party  	1
RT Tu Safar Mera Tu Hi Meri Manzil .... Tere Bina Guzara Aye DiL Hai Mushkil .... I LOVE U !! 	2
Dobar se PM bnne ki aapko dher sari shubhakamnyen ummid hi aapke isa karykala me desh bhut si nyi uplbadhiyon k  	2
We can face life together and we can spend my money on the both of us but it ’ s still MY money	2
waah kisi ne khub likha ke shama khud ko jala ke jaha ko roshan kardeta hai fir kiya tha apne aapne aap ko ba  	2
tani Abe haattt tum flop logo ki aukaad hi Kiya h chutiya log ja aapijaan ki chaplusi kar bad  	0
star77 Ohho Very beautiful eyes yarrrrr	2
EVRYONE SHIT THE FUCK UP 	0
haram khor log ulta chor kotowal ko dantey !! Mulk torney ki bat kerney waley ko or phulon ke har pehn  	0
