uid	text	label
6648	television media congress ke liye nhi h . Ye toh aapko pata chal hi gya hoga . Achha hoga ki Congress ke  	0
2512	All India me nrc lagu kare w Kashmir se dhara 370ko khatam kare ham Indian ko apse yahi umid hai	2
14356	jeet ki dher sari subh kamnaye modi ji asha karta hu jistarah desh ki janta ne khas kar Bihar ki jant  	2
5840	but topi walay babu ki tau new job hougi humey chutti kesay milay gi ? loudly crying face loudly crying face loudly crying face loudly crying face	0
37480	Baih tere itjey Kya jalti hai Pakistan se chutiye khelne de na unhe bc tu Indian bhi nahi h  	0
26930	RT Tu Safar Mera Tu Hi Meri Manzil .... Tere Bina Guzara Aye DiL Hai Mushkil .... I LOVE U !! 	2
40285	Dobar se PM bnne ki aapko dher sari shubhakamnyen ummid hi aapke isa karykala me desh bhut si nyi uplbadhiyon k  	2
21403	We can face life together and we can spend my money on the both of us but it ’ s still MY money	2
35826	waah kisi ne khub likha ke shama khud ko jala ke jaha ko roshan kardeta hai fir kiya tha apne aapne aap ko ba  	2
18017	tani Abe haattt tum flop logo ki aukaad hi Kiya h chutiya log ja aapijaan ki chaplusi kar bad  	0
39736	star77 Ohho Very beautiful eyes yarrrrr	2
15893	EVRYONE SHIT THE FUCK UP 	0
5433	haram khor log ulta chor kotowal ko dantey !! Mulk torney ki bat kerney waley ko or phulon ke har pehn  	0
23492	RT army Fin Also Stade de France is preparing for the concert . Looks so beautiful !smiling face with heart-eyes See their post on Instagram 	2
13515	Jai shree ram Jarurat nahi aandolan ki Guruji Modi h to Mumkinn h Pls trust our PM	2
27883	Abe yhi hai ram rajya kya Jisme sbhi sale harami ho Jo sale itne berahm se maar rhe ho Modi dekhna be sale tere  	0
35982	I'm poor poor-ever happy kase God is with me smiling face with halo	0
14603	Madam ji we always miss you as a mantri	2
37801	sharma Saw the episode . Nice one sir . Maan gaye yaar sharma sir aap bahut himmat wa  	2
18824	Happy Birthday Doctor sahab bhagwaan aapko khush or swasth rkhe or aap hme aise hi apni creativity se hansaate rhe bouquet birthday cake	2
21543	Teri kimat dokodi ki ho gayi ... amit shah will capture telegana soon ... kcr will resign ...	0
19116	ek bhe poj bhai wala mahe hai sab chipka ker rakhy hai yeh bhai bahen ka pyar hai .. 	2
44557	Mamta Banerjee na Jane ho kyA Hai tumko ye desh Ram Ka Hai haar Ka ghum m dubi ho bus b  	0
40382	Mp sahab dr manoj rajoriya g ko Jeet ki haardik subhkamnaye	2
27897	Koi apna nahi ghum k maare murdered raped fucked shredded to bits hai hum ~	0
35758	Back to 100% again !! KARATE CHOPPED THAT COLD QUICKLY . Feels good to FEEL GOOD * waaaaag *	2
32467	gadkari Sir badhai ho Sir Agra ke meyar ko smjhao kuch kare .... Modiji Raj is ..... RAMRAJ .... BUT ... 	2
10989	I ’ m so fckn pist I lost my damn YSL shades	0
18753	I give Araki a lot of credit for how kuch detail and work goes to making his characters Then again hes been at it  	2
