uid	text	label
1	Eres tan mala vieja bruja interesada	0
2	Fuck that ni ke el me vaya a mantener toda la vida lol	0
3	I always tell my dad ke me kiero kasar con una vieja rika and me regaña telling me ke no sea interesada ha	0
4	Since I started working ya ni disfruto la vida lol	0
5	My dad me regano cuzs I was telling that to my brother and lo andaba molestando lol	0
6	I 'm an asshole to gabby lol ok ya	0
7	actually yo me bajaba porke te echabas unos pedos bien apestosos ke no aguantaba fumigabas todo el room xD	0
8	Bitch ha ratchet as N xD parece u al revvez	0
9	I 'm the type of person that would get drunk af do stupid shit darme unos chingasos call or text my crush and the next day i will do it again	0
10	Bitch Nigga my tat ai n't even fucked up otra cosa ke tu no saves ni leer ha	0
11	She used to hate barbacoa but it was just cuzs she did n't knew how to eat it the right way ha	0
12	Yo oiero ir a ver a gloria trevi today :/	0
13	Cuzs then itzayana me va a kitar lo ke me dieron -.-	0
14	My belly hurts comi mucho chocolate	0
15	I do n't really like sopa de conchas	0
16	Me vale madre lo ke digan tus padres ke soy pandillero pelon y visto baggie	0
17	Eres una cualkiera yes u are .	0
18	Lol just cuzs va andar de forever alone	0
19	Gonna download that game hopefully no me ponga toda mad cuzs lo borro	0
20	The manager did n't know the boss was my cuñada ora si ya le bajo a sus huevitos	0
21	This nigga is singing mi nina travieza lmfao bien feo	0
22	I wish she would come back that women se olvido de mi smh	0
23	Seen ur ex suegra is awkward af	0
24	If u think I jusy want u cuzs ur money heoo no bitch tas loka	0
25	Not playing w females nomore I judt got slap por andar de pendejita	0
26	My dad calls my friends flor , luz and all that shit	0
27	Me and yazmin were looking at that milby page and we told nohemi and her bitchass hide lmfao ya la cache	0
28	Ayyy I wanna go home -.- no to my brother 's apt ayi me dan puras wings and pizza	0
29	Damm me duele mi cabezota	0
30	Nohemi was all panikiada and shit too cuzs she thought it was her sis	0
31	Lmao my dad told me to get soy una estupida tatted up on my forehead for getting my ex name tatted up smh it was funny cuz my friends here	0
32	At least ami no me mandaron tanto a la chingada como a nohemi lmao	0
33	Se kemo pokito but fuck it	0
34	: I have never been to kemah tbh . Lol ta bien caro -.- se me fue todo cheke	0
35	Then en un game oomf me aplasto -.-	0
36	Ah !! Y si estoy ardido	0
37	I 'm letting my eyebrows grow cuzs pinche vieja pendeja fucked them up	0
38	Summ people do n't like spm but fuck their opinion ha	0
39	Pero komo dicen hoes always gonna be hoes	0
40	Idc if u do n't like tekila I do so u and ur opinion can gtfo	0
41	The reason why I 'm single 1- cuzs me mandaron a la chingada lol 2- cuzs I 'm trying to save money ( girls are expensive )	0
42	I was gonna get drunk tonight pero then me dijieron I had to work lol fml	0
43	Ya lo se ke aunke tu no me kieras yo siempre te rekordare mirame dime ke aunke te pida te llore de ruege y te implore no vas a volver	0
44	I was gonna go a vee a gerardo ortiz but mayne its to fuckin cold	0
45	When I wake up my hairs looks como ke lo lambio la vaca -.-	0
46	Se pasaron de verga con este cold rt	0
47	Toda mongola and shit	0
48	La mom de eliseo said ke tengo la cabeza de teletuvi smh -.-	0
49	This girls sneak out and are like no mames denle lmao	0
50	Why ? Cuzs u ai n't shit ni mi dad me dice ke aser menos tu	0
51	Ke al diablo con los gaupos lol	0
52	I have the chance to go out w her pero I know I 'm just gonna hurt her	0
53	Bitch I can n't lmao me mandaromandarins bien bonito alv ha	0
54	Cuzs se lo va a chingar lol	0
55	I hope itzayana nunka tenga bf	0
56	For now on u do n't count y voy aserle komo nunka te conoci	0
57	Today me dieron una pinche shot y me rompieron mi corazonsito npw	0
58	Or can yall just stfu and dejar de inventar chismes ?	0
59	Yazmin anda de cochina kitandose el brasiel lol	0
60	Lol jk no te espantes	0
61	Este guy maneja bien feo lol	0
62	El room huele a weed Idk why	0
63	Damm ya me dio calentura smh	0
64	Pero I 'm not gonna say shit people do n't gotta know	0
65	Ai n't no one gonna come tellin me ke sabe ke and then unfollow me wtf	0
66	Damm todos se casaron and we still single lol forever alone	0
67	En la novela everyone got marry and shit	0
68	Cuzs le eche espuma en la boca lol	0
69	I mean ya me aburri	0
70	Damm first day of school and ya me corrienron de la class smh	0
71	Pero le huelen las patas lol	0
72	My brothers and my dad said ke si me meten a la carcel me van a dejar ahi lol smh	0
73	I can get out the room cuzs ay ta mi ex -.-	0
74	Damm I guess ya ne kacharon en la movida todas estas pinches viejas fuck it	0
75	Ay Ke la boca se te aga chicharron lol	0
76	About to watch this movie ke se llama mama :/	0
77	Ay ke niña tan horrible se pasaron de verg * sus papas lol	0
78	And simpa was like cochina	0
79	Lmao me pase de verga	0
80	Simpa se pasa de v **** I swear lmfao	0
81	Vayase a la chingada entonces lol	0
82	Y no digas ke I was ke a playa and shit cuzs nada ke ver	0
83	Ami me vale madre ke ya no me kieras kon ke no digas chingaderas de mi I 'm good	0
84	Los ke me la pelaron en el 2013 me la seguiran pelando en el 2014 lmao [ simpa ]	0
85	Well rn I 'm in the rr cuzs me iso mal el mole or idk	0
86	Pero fuck it	0
87	Con lo dificil ke es el amor .... y tu perdiendome lol ( simpa )	0
88	Siempre me anda jalando las greñas and pegandome	0
89	Now we cool but molesta mucho	0
90	Ultimo dia del año y me corrieron de mi kasa lol npw	0
91	Tonight is the night were I get fucked up do n't give a fuck bout anything and ke pase lo ke pase	0
92	Lol jammin toda mensa	0
93	This movie is badass like damm me ase llorar lol	0
94	Todos close and shit	0
95	Idk why females like my eyes parecen de pinche camaron	0
96	This girl likes me and como ni la pelo she 's always trying to get me jealous -.-	0
97	nombre ya mero ptras a la skool smh	0
98	I do n't understand my dad rt me dice ke pelie por lo ke kiero y luego me anda ayi regañando ke viejas sobran smh	0
99	en el metro fuck it lol	0
100	I do n't like when I come home and luego luego me ponen a limpiar -.-	0
101	Bitch lmao vete alv	0
102	Damm valgo ya ni kiero decir de todo el pinche dinero ke traia last night nomas me kedan 20 pesos smh	0
103	I hate when people talk shit cuzs I drink si supieran ke sus hijos tan igual oh piores ha	0
104	I just woke up but santa did n't got me shit fuck that back to sleep	0
105	Pero shit happens	0
106	Estas viejas ya se kieren ir a la disko baile same shit	0
107	Y todo para ke y todo para ke si al final yo perdi	0
108	Aciendome pendejo atras doing the agenda at work lol	0
109	lol I said borrega not pelos necios xD	0
110	buajajaja I 'm sorry I do n't speak borrega either	0
111	: Why are and against me today ? esque no hablan con borregas lol pensive face	0
112	Waiting for them to present El chapo and is almost time for me to go to work	0
113	damn i wish they would have let the banda play longer than just half an hour last night	0
114	daaaam that sucks lol nimodo	0
115	lol true true but it still sucks jaja	0
116	Hangin ' with the goodie-goodies loungin ' in paradise , Fuck that shit , I wanna tote guns and shoot dice	0
117	i wish i had someone special this valentines day so i can take a mariachi to their house y darle serenata	0
118	Daaaaaaaaamn !!!!!!! Collazo es chingon !!!!	0
119	TRILL lol I could n't find parking and then it started to rain so I was like fuck it im going home jaja	0
120	fine !!!! dont get me anything then !!!! - - hater !! caca head	0
121	no !!!! do n't be a fatass prima xD	0
122	lol eres chuntara prima jajaja	0
123	noooo its an incredibly horrible idea lol	0
124	lol okay okay never mind jajaja then I guess it 's	0
125	Damn HEB esta hasta culo !!	0
126	Me pops and tio javier are fuck as drunk lol I mean drunk as fuck	0
127	Damn people be getting hustled on black Friday , it 's all a con yall	0
128	im ambitious as fuck jajaja i want everybody who 's ever known me to say , yea i knew him when he was just some pinche wey back in the day	0
129	lol no mames	0
130	: When I think of patron I literally wanna vomit giiiiiirl !!!! U cant hang or what ?? confounded face	0
131	lol no puedo :( I work !! Yall should come so we can take shots and smoke hookah	0
132	21 no you !!! Wait i remember seeing you at estatal y me ignoro	0
133	dude el se chivea when we mention your name	0
134	And all because he wanted to play with Cookie . Y la guey de Cookie que ni caso le hace !	0
135	He woke us all up at 4:30 os que pedo ?! raised hand oncoming fist	0
136	Waiting for my momma to get home y nada :(	0
137	I misss mi chaparra del alma y a la cachetona de Kary even though i saw them sunday no fue nada !!!	0
138	I miss being able to tlk to you and trust you en todo . And now its like nothing ever happened !	0
139	I honestly miss having my momma en la casa !	0
140	I hate how since we moved both my parents left their jobs . And now my mom is the one wrking two jobs while my dads at the rancho all day !!!	0
141	And then grabs my phone ! Wtf ?! Quien te cres que eres ?!!! person tipping hand	0
142	Me : lero lero candilero alex : ( crying ) picate el abujero face with tears of joy face with tears of joy face with tears of joy face with tears of joy	0
143	Yea the bailamos bachata one was suppose to be for marlene and only her !!! flushed face	0
144	alcalaa yeaaa people will always bitch and have shit to say ! I was tld my damas looked better then me person tipping hand	0
145	I jst cracked my fone del coraje ! face screaming in fear	0
146	: Are you kidding me !?!?!?!?!?! I want to cry real talk loudly crying face pouting face pistol	0
147	So im wearing my huge ass heels in tht pic and im still not taller then Poncho ! Wadda fack !	0
148	We we 're all worried que my mom and dad were gonna be mad ! Y ni cuenta se dieron a que horas llegamos lmaoo face with tears of joy	0
149	98 gets to the point where if i walk se me dobla mi foot y me caigo	0
150	98 yea it was long but it was my fault ! And yo si i brokw it 3yrs ago and its been like hell evee since lol it	0
151	98 i sat for the last hour por pendeja ! Lol but it was good for my ankle ya no la aguantava ! Ever since i broke it no aguanto !	0
152	Ill just let it go ! Tht was stupid to get mad of but ya que !	0
153	I regret going to the baile like seriously ! Si uviera supido ni pa que	0
154	No pos wow bonita chulada ! im locked out of the house and my sisters bawling her eyes out !!!	0
155	Mann my brother se nos casa ... said but true !	0
156	Lmaooo this girl es susto que saco !!!	0
157	Tan bien que ivan las cosas ... im so lost what did i do ?!	0
158	This shit fuken pisses me off !!! Siempre tratando de aser de las bancas de adentro !!!!	0
159	Ya que se fueron mis Silvas im all bored .. snapchat a nigga ... fabii carrera	0
160	i aint really liking the idea . Como que si como que no . Se la van a pasar en los casinos !!!	0
161	Me dos !!! Y fuck a los que no lea guste lol	0
162	Niggah wants me to stay up but takes forever to respond to my snapchat -.- .... no pos que Culo !	0
163	omgggg dude story of my life horita that christmas break did no good haha	0
164	Y otra ves Nyquil pa poder dormir and que se me quite este dolor que tengo oncoming fist	0
165	oh yea they 're ahead over there . My brothers fiance tambien is ahead and she tells me stuff im like shutupp dong spoil it lol	0
166	When he called her a prostituta uggghhhh i just wanted to punch the fuck out of him !	0
167	My dad confessed he will miss his amigo del alma , his compadre broken heart	0
168	Mannn im so tired y eso que me quede dormida imagine if i didnt !	0
169	No mattet how cute you were me caiste gordo !!!	0
170	Pos esta guey(my mom ) me acuesto a chingasos lmfaoooooooo	0
171	Vel lmaoo no hasta que se le ablande la cabeza lol asi que callese comadre	0
172	Vel callate !!! Porque no lo haces lol	0
173	Yea go ahead dont respond ... its noy like we were having a conversation .. es okay no aye pedo OK hand	0
174	Heyyyyyy Gutty and Karyy should come visit me today since my Tio doesnt work :D yea ? Okay no ! :/	0
175	And then he started telling abt the movie he watched ! Like niggah no me importa callate ! Lbs !!	0
176	Toda la noche Fabiiss , Fabii , Fabiola , Fab , Flacucha , Ugly like shut the fuck up and let me sleep !	0
177	: Shouldvee went to thee baile :(	0
178	Nice body yo ? My assssss estot mas seca que un palo !	0
179	Ya shut the fuk up !!! Ask is no use !!!	0
180	Wtfff save tht for home gente mas cochina !	0
181	Yea i kinda bitched them out ! But ya que . se lo buscaron	0
182	El dia de mi birthday at the rodeo muy apenas me saludaron mucho menos decir me happy birthday !	0
183	And i called him mandilon ! I feel bad but the get me mad !	0
184	Mis brothers nomas me ayudan cuando les conviene !!!	0
185	: Boy a llorarrrr	0
186	Ughhh having to get ready y sin ganas thumbs down	0
187	I went sleep at 4 y ya estoy levantada -.-	0
188	Las cuatro de la morning y yo todavia sin poder dormir !!! :'( im actually tired !	0
189	I was in the kitchen echando mis chips al bowl and Oscar comes in and asks me what im doing up . I said i was hungry y se rio de mi -.-	0
190	21 entonces pa que dice que enfrente de la novia no ! Ya iva decir este avienta novias a lo guey lol jk jk puro cottoreo !	0
191	21 Naww ni madres ami se me hace que es bien miedoso ! Lol	0
192	Why is it that when i wanna go somewhere y no voy el dia se me hace biennnnn largooooo !?!?!?!	0
193	So when im at a party or something my fone is always vibrating getting txts and what not . & when im bored ni quien me pele -.-	0
194	Vel omg i hate it ! My mom tells us how her and her sisters hated when mi gpa no le decia si o no and im like thts how i feel !	0
195	We better go sunday to the baile or ima be pissed and yesss voy aser mis berinches pouting face	0
196	He always responds like that -.- this morning i tld him i had a dream tht i was gonna die y me dijo why did you wake up ?! Lil bitch :P	0
197	I tld Artemio im gonna die because this pain on my arms is to much y me dice Pos que esperas , ya muerte he loves me to damn much broken heart unamused face pistol	0
198	Cuando veo la needle siento que se me vaja la presion lol	0
199	I legitally screamed !!!! No fue una si no dos !!!	0
200	My dad tlking to cal dad and me wanting to say que me la pase ! I misss her to muchh :'(	0
201	21 yea i do and thanks fot everything pero no lo quiero enfadar lol	0
202	ahhhh entonces asi si pues . You can say im weird then ? Lol	0
203	im not weird lol ... si a esas vamos pos uste tambien .	0
204	Like forreal why do ppl think its nasty to sleep with socks ?! Yo no duermo sin socks !	0
205	en la morning le digo cause she went to sleep cause se enfermo	0
206	I mean i guesd i dont have aloy of friends but its better poquitos que fakes como tus disque friends	0
207	That guy really se esta pasando on tht pg ! Y cuando sepan quien es no le va gustar	0
208	That famous Jonatan Sanchez kid isnt even cute ! The only thing que tiene es voice ... js	0
209	Ever since i stopped having parties and my sister cada ano le hacen uno except last year .	0
210	Everything was always my way ! Siempre era lo que la nina quiera and now its Alex quiere eso , eso se va aser -.-	0
211	Its always Alex esto , Alex el otro osea hello you have two daughters no nomas una !!!	0
212	I think the only one que lo puede aser renegar without him getting mad es mi sister ! It irratates me !	0
213	I wish i was in school !!! I hate being home . Cause my dad se enpacienta mucho and starts yelling -.-	0
214	haha yea . And yes really tambien mi cunada was scared but como mi tio trabaja en un zapateria he tld her que hace si las laban	0
215	yeaaaa the first day i wore them i dropped water and i thought que se avian manchado cause they took forever to dry !	0
216	It shouldnt bother you cause ami ya ni me pelas !	0
217	I didnt know it offended you so much ! But si no te fijaste it says pa que quiero bestfriends when i have cousins mann seriously !!!	0
218	El que heredo lo feo y nacio lo feo es feo !!! Lmfaooooo pinche lizeth !!	0
219	L1207 viejo inutil lol hes full of shit ! Ainy nobody got time for him !!!	0
220	Arreglar cosas ?! Fuck tht shit me canse de siempre rogar te ! Ahi tu y tu consencia !	0
221	Being blocked my your own cousin disque sister on twitter ... ta bueno puess al puro cien OK hand victory hand thumbs up hundred points	0
222	L1207 i havnt gotten nada :'(	0
223	L1207 mmm maybe yea cause de our house its been two days lol . and dude yo tambien ! A lo menos tu ya te vas ir . Y yo que .. me chingo !	0
224	L1207 mendiga loka ! Y cuanto se hace ?! Lol	0
225	yea i hope i am . But ya te dejo cause ima knock out	0
226	ill wait till we move in the other house lol aki me da flojera	0
227	mendiga -.- and yea i know but this moving is a pain in the booty ive been up since 9 cleaning and packing stuff y apenas	0
228	I 'll jst stick to my marlenesita and Judith son las unicas que me pelan . Ohhh and Nayeli but shes so far away :(	0
229	lmaooo mendiga chaparra . Te van a reganar !!	0
230	Sorry primo i flipped i swear Ever sounded like your cousin -.-	0
231	That private call i swear it sounded so much like guero !!!	0
232	Vel aye mi patty ni en sus suenos will they ever grow up !	0
233	what the heck is going on ?! A todos les esta saliendo asi ... como que i dont like the new snapchat update	0
234	I need to go to sleep y dejarme de tanta pendejada !!! smirking face	0
235	I mean i dont care if he drinks ... but que sepa su limite !!!! Cuando llega a la casa bien perdido is what gets me mad !!	0
236	I remember after my quince ppl were tlking shit saying that my mom was drinking and mayb even more because she was going all crazy ! -.-	0
237	Like seriously educen ustedes a sus hijas como puedan y quieran and let my mom do whatever the fuck she wants with us !	0
238	Does it fuken matter if i know how to make arroz ?!	0
239	I cant tell my mom this because si no me pega lbs !!!	0
240	Y hasta nueva ropa pa acavar la de joder !!!	0
241	I have hw to do but instead im here laying on my bed with clothes every where and on my fone ...	0
242	: I miss Fabii i miss you too chula :'(	0
243	But i needa stop picking at ut porque si no its gonna brake : ' d	0
244	Rain on your parade : Arruinar tus planes I 'm sorry to rain on your parade , but you 're not allowed to have alcohol inside this building .	0
245	My sister listens to cholo songs Pinche cholilla Porke no Puedo Salir Como yo face with tears of joy face with tears of joy smiling face with sunglasses face with tears of joy	0
246	Osea I was just chilling face with tears of joy face with tears of joy face with tears of joy	0
247	Fuhk that ala verga con todos !!! Lmao no te creas I 'm high can n't get more calmado lol face with tears of joy face with tears of joy face with tears of joy	0
248	I 've been single for like the longest I even forgot relationships still existed Jk tampoco Asi De Tanto no Lol cx flushed face flushed face face with tears of joy face with tears of joy neutral face	0
249	Drop it : Pedirle a alguien que pare de hacer algo ( molesto ) Hey you guys , just drop it . I do n’t want to hear any more arguing .	0
250	I 'm always fighting in that class Con La De Monterrey , el De San Luis I con el De Coahuila I el De Durango / . - !!!	0
251	I went haywire : Varias cosas , una es volverse loco . I went haywire when I realized I was at the wrong terminal	0
