text	label
So that means tomorrow cruda segura lol	2
Tonight peda segura	1
Eres tan mala vieja bruja interesada	0
Yo kiero Pretzels lol	1
Fuck that ni ke el me vaya a mantener toda la vida lol	0
I always tell my dad ke me kiero kasar con una vieja rika and me regaña telling me ke no sea interesada ha	0
Ke me compre un carrito pa irme con mis friends and party lol	1
Why can I just find a rich bitch ke me mantenga y ya ha	1
Since I started working ya ni disfruto la vida lol	0
My dad me regano cuzs I was telling that to my brother and lo andaba molestando lol	0
If u still love her you should give her otro chance	2
Tengo hungry mhm	1
Teachers be staring at me like im high they gotta accept my eyes parecen de camaron	1
Bien fatass ha	1
Bitch lmao yeah sure el tuyo parece ke te lo iso un lil kid	1
ha do n't lie los mios bolian a febrezee xD	1
lo levantaste con una de tus bombas lmao	2
I 'm an asshole to gabby lol ok ya	0
actually yo me bajaba porke te echabas unos pedos bien apestosos ke no aguantaba fumigabas todo el room xD	0
ha u know is true parece ke te esta dando un atake xD	2
Nobody can make gabby laugh like I do asta parece mongolita lmao victory hand face with tears of joy grinning squinting face	2
Bitch ha ratchet as N xD parece u al revvez	0
Gabby is just saying that cuzs I gave her , her fav gum and le planche sus pelos de elote lol jk jk	2
Should I give oomf the candy nawh mejor me lo como yo lol	1
I was gonna buy summ spur gumn for oomf but then I remembered that shes on a diet so mejor no lol	1
Cuzs today I swear I 'm not doing anything nothing at all fui fui fui	1
Manager got us tacos and everyone is just chilling lol	2
The hug she gave me en la morning	2
Is your name sabado cuzs that ass is gigante lol	1
I 'm the type of person that would get drunk af do stupid shit darme unos chingasos call or text my crush and the next day i will do it again	0
I 'm just hoping my crush venga today : *	2
Came to buy a torta and una gordita for my bro	1
Hola chikita estoy bien buenote kieres ser mi novia lmao - Pañiaguas	2
Bitch Nigga my tat ai n't even fucked up otra cosa ke tu no saves ni leer ha	0
Oomf anda de buenas pues ke abra comido lol	2
She used to hate barbacoa but it was just cuzs she did n't knew how to eat it the right way ha	0
I was eating tacos de barbacoa RN and me akorde de oomf lol	2
De ke te kiero te kiero pendeja pero rogarte ? Ha ni ke estuvieras tan Buena ;)	1
She 's a good cuñada lol	2
Just woke up De my nap w itzayana	1
Kuando me vaya a LA or mexico IMA take my queen red heart	1
Chillin en el apt con yazmin y lesly	1
This guy made cookies other one made tamales other guy made cookies another guy made mole a girl made fresas I made ensalda De pollo	1
lol lo ke sobre the llevo	1
Tragando tamales in class lol	1
Bien mexican	2
And maybe me llevo a la nohemi al restaurant ha	1
Here w josue at the apt eating tamales sopas chocolates cookies juices and all that good shit ha	2
Yo oiero ir a ver a gloria trevi today :/	0
Cuzs then itzayana me va a kitar lo ke me dieron -.-	0
My belly hurts comi mucho chocolate	0
Me viera agarrado algo but I never thought me me iba ablar	1
She thought the chocolate and teddy bear eran pa Ella lol	2
Crush said she loves me cuzs me di chocolate	2
Tengo ke aprovechar mis last mins single	2
I do n't really like sopa de conchas	0
Me vale madre lo ke digan tus padres ke soy pandillero pelon y visto baggie	0
My phone looks ratchet todo crack	1
Eres una cualkiera yes u are .	0
Finna go a McDonalds con la nohemi	1
" Ni kulo me van a dar ni una tokadita " lmfao nohemi	2
Lol just cuzs va andar de forever alone	0
Nohemi cook for me summ kesadiyas	1
Escapate te doy 2 mins aki estoy afuera heart suit	1
Gonna download that game hopefully no me ponga toda mad cuzs lo borro	0
The manager did n't know the boss was my cuñada ora si ya le bajo a sus huevitos	0
This nigga is singing mi nina travieza lmfao bien feo	0
Mhm no wonder why they used to call me changa when i was lil	1
I wish she would come back that women se olvido de mi smh	0
Me Interesas by noel torres	1
Or mejor I go to my brothers house	1
Seen ur ex suegra is awkward af	0
Vayanse alv ha I got all kinds of color pants	1
If u think I jusy want u cuzs ur money heoo no bitch tas loka	0
But I told jaime ke iba ir a su house to play xbox	1
No la buskes hija muy bonita por ke al paso del tiempo se le kita - my dad lol bien gay	1
Not playing w females nomore I judt got slap por andar de pendejita	0
